local_scores,group
0.0579945392917783,True
0.0791420402165319,True
1.64966470933036,True
0.2852097322931,True
0.759072939024706,True
0.152665081956244,True
0.139065070368778,True
0.305323559248198,True
0.128145737568185,True
0.144599201240508,True
0.42122487322002,True
0.125894267783465,True
0.317092344563353,True
0.180921364284508,True
0.2249014010826,True
0.268490304082986,True
0.126275945283075,True
0.486433344143904,True
0.126715689901073,True
0.408790597030254,True
0.181419408946267,True
2.1700324726854,True
0.285105059118275,True
0.256280511868844,True
0.186833169484197,True
0.310614391347814,True
0.150158306218045,True
0.177062873481877,True
0.21280028218731,True
0.279220554358098,True
0.271913350100288,True
0.276472988437915,True
0.303745259375427,True
0.189591047060275,True
0.736946695765174,True
0.0821368740054507,True
0.0596983871042593,True
0.310011147000237,True
0.227617476500206,True
0.339573459884411,True
0.105395463917498,True
0.333821959642707,True
2.15651355453119,True
-0.023116566551201,False
0.0680453603725965,False
0.0330801609200929,False
-0.0227626888683223,False
0.0397272602181279,False
0.0354068558810417,False
-0.0105680112389183,False
0.0342932390652534,False
0.0219503801345188,False
0.013655017775214,False
-0.0137823601581317,False
-0.0777524407315022,False
0.229436258298542,False
-0.158269207439388,False
-0.198117635932797,False
-0.284157523333848,False
-0.167346206806075,False
